,category,city,name,rating,review,review_count,snippet_text,time_created,uid,urating
hai-ky-mi-gia-san-francisco,Chinese,San Francisco,Hai Ky Mi Gia,4.0,"This place has never disappointed us, we all love this place....

Pictures of our dishes were truly solid unlike other reviews I just did, cleaning up my...",711.0,"This place has never disappointed us, we all love this place....

Pictures of our dishes were truly solid unlike other reviews I just did, cleaning up my...",1488189666.0,3Rn993btYslL-3D902Bxlw,5.0
superstar-restaurant-san-francisco,Chinese,San Francisco,Superstar Restaurant,4.0,"Beef Tapa is my favorite ! Garlic Fried Rice , egg n tomatoes.  ONLY  $ 3.75 !!! 
BEST VALUE ANYWHERE. 
Food tastes great n even if you only think it's ok...",333.0,"Beef Tapa is my favorite ! Garlic Fried Rice , egg n tomatoes.  ONLY  $ 3.75 !!! 
BEST VALUE ANYWHERE. 
Food tastes great n even if you only think it's ok...",1487113415.0,aF_x1Vgglu2Sw7rNjfHoUw,5.0
hunan-cafe-2-san-francisco-2,Chinese,San Francisco,Hunan Cafe 2,4.0,This is an update of my review in response to 2 recent one-star ratings. No MSG is used in any of their dishes. This is probably one of the least expensive...,314.0,This is an update of my review in response to 2 recent one-star ratings. No MSG is used in any of their dishes. This is probably one of the least expensive...,1486316676.0,gAW_NI3HwwbFav_C15E-CA,5.0
sun-kwong-restaurant-san-francisco,Chinese,San Francisco,Sun Kwong Restaurant,4.0,"LOVE this place!! 

I have no idea how the food is at the prices they are, but I am NOT complaining. Entrees all day that are priced ~$5, this is nearly as...",141.0,"LOVE this place!! 

I have no idea how the food is at the prices they are, but I am NOT complaining. Entrees all day that are priced ~$5, this is nearly as...",1488703217.0,dFsdMDye7h319z8hzRGrTg,5.0
chase-luck-bakery-san-francisco,Chinese,San Francisco,Chase Luck Bakery,4.5,"Good tasting food for a really good price. I got 3 lunch box, each for $5.45.

Fried rice and chow mein: Both were very flavorful. Usually, for this price,...",18.0,"Good tasting food for a really good price. I got 3 lunch box, each for $5.45.

Fried rice and chow mein: Both were very flavorful. Usually, for this price,...",1487710358.0,e9qPqRO3m-njTPpZiCXOuA,5.0
good-mong-kok-bakery-san-francisco,Chinese,San Francisco,Good Mong Kok Bakery,4.0,"Excellent dim sum lines seem long but well worth the wait
Their won ton is very fresh & tasty
I especially enjoy the steamed chicken bun & their sui mai &...",1581.0,"Excellent dim sum lines seem long but well worth the wait
Their won ton is very fresh & tasty
I especially enjoy the steamed chicken bun & their sui mai &...",1490213022.0,Vqw5X2uZwz17eTLww5PgMA,5.0
kung-food-san-francisco,Chinese,San Francisco,Kung Food,4.0,Love Kung Food! The most delicious friendly and accommodating Chinese restaurant in the city that I've found so far. They are extremely flexible with what...,262.0,Love Kung Food! The most delicious friendly and accommodating Chinese restaurant in the city that I've found so far. They are extremely flexible with what...,1489549516.0,UEacYi57LcAv_izkhVbSyA,5.0
house-of-pancakes-san-francisco,Chinese,San Francisco,House Of Pancakes,4.0,"I am so happy to have discovered and given this small, local ""hole in the wall"" restaurant a try. All the dishes I have had here (made 3 visits so far) have...",554.0,"I am so happy to have discovered and given this small, local ""hole in the wall"" restaurant a try. All the dishes I have had here (made 3 visits so far) have...",1489703906.0,kPo5eybyVQMbbKDzAcj-4Q,5.0
sichuan-home-san-francisco,Chinese,San Francisco,Sichuan Home,4.0,"I like this place. It was quiet on a Sunday lunch time.
Service was attentive and the restaurant was pretty empty.
I was also hung over so this all suit me...",320.0,"I used to dream of the days back in Philly where we had authentic sichuan style chinese food at our favorite restaurant. Since moving out to the bay area,...",1490121430.0,u3heXTn23wDZFWq9-N0nHA,4.0
hakkasan-san-francisco-2,Chinese,San Francisco,Hakkasan,4.0,"Love this place. The drinks are great. I love whiskey drinks and the Hong Kong Dusk is amazing.

We love all their food but here are some of our...",1200.0,"Love this place. The drinks are great. I love whiskey drinks and the Hong Kong Dusk is amazing.

We love all their food but here are some of our...",1489892216.0,5g8aaJc6qzGzfmhvy_HyWw,5.0
